Main document: ./docs/60995 	 Potential Duplicates:[u'./docs/65516']
Main document: ./docs/61104 	 Potential Duplicates:[u'./docs/77362']
Main document: ./docs/61142 	 Potential Duplicates:[u'./docs/61177']
Main document: ./docs/61151 	 Potential Duplicates:[u'./docs/63394']
Main document: ./docs/61620 	 Potential Duplicates:[u'./docs/86838']
Main document: ./docs/61657 	 Potential Duplicates:[u'./docs/83525']
Main document: ./docs/61674 	 Potential Duplicates:[u'./docs/61686']
Main document: ./docs/62372 	 Potential Duplicates:[u'./docs/92113']
Main document: ./docs/62417 	 Potential Duplicates:[u'./docs/86840']
Main document: ./docs/62492 	 Potential Duplicates:[u'./docs/64244']
Main document: ./docs/62600 	 Potential Duplicates:[u'./docs/97854']
Main document: ./docs/62654 	 Potential Duplicates:[u'./docs/98393']
Main document: ./docs/63293 	 Potential Duplicates:[u'./docs/63304']
Main document: ./docs/63679 	 Potential Duplicates:[u'./docs/64745']
Main document: ./docs/63807 	 Potential Duplicates:[u'./docs/98145']
Main document: ./docs/63957 	 Potential Duplicates:[u'./docs/63958']
Main document: ./docs/64078 	 Potential Duplicates:[u'./docs/81015']
Main document: ./docs/64096 	 Potential Duplicates:[u'./docs/70107']
Main document: ./docs/64347 	 Potential Duplicates:[u'./docs/78173']
Main document: ./docs/65168 	 Potential Duplicates:[u'./docs/91070']
Main document: ./docs/65177 	 Potential Duplicates:[u'./docs/65178']
Main document: ./docs/65188 	 Potential Duplicates:[u'./docs/65190']
Main document: ./docs/65245 	 Potential Duplicates:[u'./docs/98514']
Main document: ./docs/65253 	 Potential Duplicates:[u'./docs/77981']
Main document: ./docs/65591 	 Potential Duplicates:[u'./docs/98306']
Main document: ./docs/65769 	 Potential Duplicates:[u'./docs/65814']
Main document: ./docs/65875 	 Potential Duplicates:[u'./docs/65887']
Main document: ./docs/66057 	 Potential Duplicates:[u'./docs/66776']
Main document: ./docs/66098 	 Potential Duplicates:[u'./docs/66112']
Main document: ./docs/66367 	 Potential Duplicates:[u'./docs/83679']
Main document: ./docs/66735 	 Potential Duplicates:[u'./docs/89681']
Main document: ./docs/66885 	 Potential Duplicates:[u'./docs/69961']
Main document: ./docs/67051 	 Potential Duplicates:[u'./docs/67052']
Main document: ./docs/67099 	 Potential Duplicates:[u'./docs/70367']
Main document: ./docs/67728 	 Potential Duplicates:[u'./docs/67751']
Main document: ./docs/67800 	 Potential Duplicates:[u'./docs/67801']
Main document: ./docs/68230 	 Potential Duplicates:[u'./docs/68231']
Main document: ./docs/68741 	 Potential Duplicates:[u'./docs/68761']
Main document: ./docs/68930 	 Potential Duplicates:[u'./docs/69268']
Main document: ./docs/69007 	 Potential Duplicates:[u'./docs/69010']
Main document: ./docs/69132 	 Potential Duplicates:[u'./docs/69134']
Main document: ./docs/69400 	 Potential Duplicates:[u'./docs/69402']
Main document: ./docs/70082 	 Potential Duplicates:[u'./docs/70083']
Main document: ./docs/70166 	 Potential Duplicates:[u'./docs/70180']
Main document: ./docs/70182 	 Potential Duplicates:[u'./docs/82097']
Main document: ./docs/70430 	 Potential Duplicates:[u'./docs/70436']
Main document: ./docs/70691 	 Potential Duplicates:[u'./docs/86880']
Main document: ./docs/70972 	 Potential Duplicates:[u'./docs/74921']
Main document: ./docs/71106 	 Potential Duplicates:[u'./docs/73168']
Main document: ./docs/72375 	 Potential Duplicates:[u'./docs/89617']
Main document: ./docs/73266 	 Potential Duplicates:[u'./docs/89774']
Main document: ./docs/74986 	 Potential Duplicates:[u'./docs/75446']
Main document: ./docs/75264 	 Potential Duplicates:[u'./docs/75265']
Main document: ./docs/75324 	 Potential Duplicates:[u'./docs/99046']
Main document: ./docs/76191 	 Potential Duplicates:[u'./docs/88226']
Main document: ./docs/76196 	 Potential Duplicates:[u'./docs/97761']
Main document: ./docs/76243 	 Potential Duplicates:[u'./docs/80293']
Main document: ./docs/76373 	 Potential Duplicates:[u'./docs/89405']
Main document: ./docs/76519 	 Potential Duplicates:[u'./docs/77160']
Main document: ./docs/77945 	 Potential Duplicates:[u'./docs/94819']
Main document: ./docs/78202 	 Potential Duplicates:[u'./docs/78203']
Main document: ./docs/78417 	 Potential Duplicates:[u'./docs/78418']
Main document: ./docs/78932 	 Potential Duplicates:[u'./docs/78969']
Main document: ./docs/79015 	 Potential Duplicates:[u'./docs/79016']
Main document: ./docs/79152 	 Potential Duplicates:[u'./docs/93845']
Main document: ./docs/80225 	 Potential Duplicates:[u'./docs/80240']
Main document: ./docs/80227 	 Potential Duplicates:[u'./docs/80239']
Main document: ./docs/80800 	 Potential Duplicates:[u'./docs/82283']
Main document: ./docs/80822 	 Potential Duplicates:[u'./docs/80998']
Main document: ./docs/80834 	 Potential Duplicates:[u'./docs/90088']
Main document: ./docs/80841 	 Potential Duplicates:[u'./docs/82670']
Main document: ./docs/80867 	 Potential Duplicates:[u'./docs/80876']
Main document: ./docs/80908 	 Potential Duplicates:[u'./docs/80916']
Main document: ./docs/80926 	 Potential Duplicates:[u'./docs/90088']
Main document: ./docs/80963 	 Potential Duplicates:[u'./docs/82672']
Main document: ./docs/80972 	 Potential Duplicates:[u'./docs/81109']
Main document: ./docs/80996 	 Potential Duplicates:[u'./docs/83745']
Main document: ./docs/80998 	 Potential Duplicates:[u'./docs/81077']
Main document: ./docs/81024 	 Potential Duplicates:[u'./docs/83773']
Main document: ./docs/81034 	 Potential Duplicates:[u'./docs/81855']
Main document: ./docs/81058 	 Potential Duplicates:[u'./docs/82807']
Main document: ./docs/81086 	 Potential Duplicates:[u'./docs/82670']
Main document: ./docs/81435 	 Potential Duplicates:[u'./docs/92390']
